eta,lambda,amplitude,s_infinity,lambda_s_infinity,a19_principal,a19_remainder,m_pulse,j_pulse,s_pulse,rI_pulse,pulse_residual_M,pulse_residual_J,rI_exterior_error,angular_c1,angular_c2,exterior_hold_length,terminal_weight
-1,1.0000000000000001e-05,1.0172521534695989,-2.5887090805756918e-07,-2.5887090805756922e-12,0.0035778230258436683,-0.0035778230284323775,-8.200580619333573e-164,-7.9388353541629323e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,7.2835277747300023e-152
-0.75,1.0000000000000001e-05,1.0172521534695989,-2.5851735939746906e-07,-2.5851735939746908e-12,0.0035778230258436683,-0.0035778230284288417,-4.8050277066408121e-164,-4.6516613403298765e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,4.4455125578123432e-152
-0.5,1.0000000000000001e-05,1.0172521534695989,-2.5831779015950078e-07,-2.5831779015950081e-12,0.0035778230258436683,-0.0035778230284268463,-2.5626814435417665e-164,-2.4808860481759114e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,2.845128037927484e-152
-0.25,1.0000000000000001e-05,1.0172521534695989,-2.5821923257904296e-07,-2.5821923257904297e-12,0.0035778230258436683,-0.0035778230284258606,-1.0891396135052489e-164,-1.0543765704747607e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,2.0556050100857967e-152
0,1.0000000000000001e-05,1.0172521534695989,-2.5818991022077469e-07,-2.5818991022077471e-12,0.0035778230258436683,-0.0035778230284255674,0,0,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,1.8208819484844174e-152
0.25,1.0000000000000001e-05,1.0172521534695989,-2.5821923257904296e-07,-2.5821923257904297e-12,0.0035778230258436683,-0.0035778230284258606,1.0891396135052489e-164,1.0543765704747607e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,2.0556050100857967e-152
0.5,1.0000000000000001e-05,1.0172521534695989,-2.5831779015950078e-07,-2.5831779015950081e-12,0.0035778230258436683,-0.0035778230284268463,2.5626814435417665e-164,2.4808860481759114e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,2.845128037927484e-152
0.75,1.0000000000000001e-05,1.0172521534695989,-2.5851735939746906e-07,-2.5851735939746908e-12,0.0035778230258436683,-0.0035778230284288417,4.8050277066408121e-164,4.6516613403298765e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,4.4455125578123432e-152
1,1.0000000000000001e-05,1.0172521534695989,-2.5887090805756918e-07,-2.5887090805756922e-12,0.0035778230258436683,-0.0035778230284323775,8.200580619333573e-164,7.9388353541629323e-164,-357.78230284230517,1.0000100000999987,0,0,0,0,0,45.571637195068462,7.2835277747300023e-152
