lambda,eta,Kb,amplitude,m_pulse,j_pulse,s_pulse,pre_M_bump,pre_J_bump,c1_MJ,c2_MJ,residual_M,residual_J,c1_IP,c2_IP,residual_I,residual_pressure,Qp,Qs0
0.080000000000000002,-0.5,0.24504961993832317,1.0100502668056244,-6.0385324179940097e-42,-1.1127081465029121e-36,-467830108563.08508,-4.870169308505234e-71,-3.1231404416380477e-60,-0.013206421267609457,0.0056231380694534523,0,-1.7347234759768071e-18,-3.0664850013275891e-33,3.1203552637968455e-32,0,1.9235230309582426e-63,0.00074156199603661827,0.00074156199603457335
0.080000000000000002,0,0.24504961993832317,1.0100502668056244,0,0,-467830108563.08508,0,0,-0.013206421267609457,0.0056231380694534523,0,-1.7347234759768071e-18,-3.0664850013275891e-33,3.1203552637968455e-32,0,1.9235230309582426e-63,0.00074156199603661827,0.00074156199603457335
0.080000000000000002,0.5,0.24504961993832317,1.0100502668056244,6.0385324179940097e-42,1.1127081465029121e-36,-467830108563.08508,4.870169308505234e-71,3.1231404416380477e-60,-0.013206421267609457,0.0056231380694534523,0,-1.7347234759768071e-18,-3.0664850013275891e-33,3.1203552637968455e-32,0,1.9235230309582426e-63,0.00074156199603661827,0.00074156199603457335
0.050000000000000003,-0.5,0.24504961993832317,1.0100502668056244,-1.9441932627026357e-49,-1.533192923926511e-45,-983002095.21690643,-1.1550016421754549e-99,-3.4683591823502533e-90,-1.8981322989343472e-06,7.6479377475630348e-07,0,-2.1175823681357508e-22,-6.2771424560232458e-39,5.6651295403480847e-38,0,7.2301541695454622e-75,0.00074156199603661827,0.00074156199603457335
0.050000000000000003,0,0.24504961993832317,1.0100502668056244,0,0,-983002095.21690643,0,0,-1.8981322989343472e-06,7.6479377475630348e-07,0,-2.1175823681357508e-22,-6.2771424560232458e-39,5.6651295403480847e-38,0,7.2301541695454622e-75,0.00074156199603661827,0.00074156199603457335
0.050000000000000003,0.5,0.24504961993832317,1.0100502668056244,1.9441932627026357e-49,1.533192923926511e-45,-983002095.21690643,1.1550016421754549e-99,3.4683591823502533e-90,-1.8981322989343472e-06,7.6479377475630348e-07,0,-2.1175823681357508e-22,-6.2771424560232458e-39,5.6651295403480847e-38,0,7.2301541695454622e-75,0.00074156199603661827,0.00074156199603457335
0.02,-0.5,0.24504961993832317,1.0100502668056244,-3.0178578722566116e-63,-3.2041715279085945e-61,-269643.28939523851,-4.0290669378356514e-198,-1.7823461523815627e-190,-4.8077297389967638e-22,1.8337846347391201e-22,0,0,-4.8078299648857029e-50,3.8484125499150132e-49,0,3.8097086178281203e-97,0.00074156199603661827,0.00074156199603457335
0.02,0,0.24504961993832317,1.0100502668056244,0,0,-269643.28939523851,0,0,-4.8077297389967638e-22,1.8337846347391201e-22,0,0,-4.8078299648857029e-50,3.8484125499150132e-49,0,3.8097086178281203e-97,0.00074156199603661827,0.00074156199603457335
0.02,0.5,0.24504961993832317,1.0100502668056244,3.0178578722566116e-63,3.2041715279085945e-61,-269643.28939523851,4.0290669378356514e-198,1.7823461523815627e-190,-4.8077297389967638e-22,1.8337846347391201e-22,0,0,-4.8078299648857029e-50,3.8484125499150132e-49,0,3.8097086178281203e-97,0.00074156199603661827,0.00074156199603457335
