rho,lambda_factor,log_Lambda,b2_certificate,ball_radius,S0_Ymax,S0_exit,S1_exit,phi0_lower,phi_correction_sup,phi_lower,endpoint_phi_error,endpoint_DXphi_error,unperturbed_azimuthal_shear,perturbed_azimuthal_shear,endpoint_cex,log_C_chosen,log_C_required_axial,log_C_axial_margin,phi_positive,azimuthal_branch_certified,axial_branch_certified,B19_certified,proposition_b3_certificate
1.0000000000000001e-05,1,145.28778036016541,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,10,147.59036545315945,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,100,149.89295054615351,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,1000,152.19553563914755,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,10000,154.49812073214159,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,100000,156.80070582513565,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,1000000,159.10329091812969,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,10000000,161.40587601112372,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,100000000,163.70846110411779,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,1000000000,166.01104619711182,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,10000000000,168.31363129010586,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,100000000000,170.61621638309992,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,1000000000000,172.91880147609396,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,10000000000000,175.221386569088,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,100000000000000,177.52397166208206,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
1.0000000000000001e-05,1000000000000000,179.8265567550761,0,1,1.0565403893938534,1.0550188771985236,0.060698879372524904,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,0,0,0
