rho,radial_order,eta_order,product_bound,DX_bound,I_bound,J1_bound,J2_bound,deta_bound,mixed_J1,mixed_J2,mixed_AX_J1,mixed_AX_J2,sigma_star,analytic_radius,pole_distance,cauchy_factor,log_C_for_g,chi_norm,zeta_norm,invL_norm,Wstar_norm,Hstar_norm,M_r1_bracket_phi,M_r1_W_DXPhi,M_r1_H_detaPhi,M_r2_linear_u,M_r2_u2,M_r2_W_DXu,M_r2_H_deta_u,M_r2_u_deta_u,M_r2_pressure_p,M_r2_pressure_peta,M_r2_pressure_DXp,M_R1,M_R2,M,pressure_fraction,log_Lambda,beta_radial_proxy,log_contraction_proxy
1.0000000000000001e-05,18,6,3.7900104875283449,18,0.087500000000000022,0.087500000000000022,0.043750000000000011,1763265.3061224483,729410.53206997074,493106.99588477367,729410.53206997074,486273.68804664718,0.0025000000000000005,4.0000000000000003e-05,0.00055560112833593625,1,5.7058839505185054e+65,2.2960763861085631,455.38140253788356,1,3.0500020000000001,8.6006640192802557,1.2950223595323544e+67,190074293.39410827,228396044.8051396,238.45922697136837,5.9886825403466615,380147798.1942451,217836408.64391774,21119272.322443772,547.41597878261598,965239604.17660964,9853.487618087087,1.2950223595323544e+67,1584353728.6887226,1.2950223595323544e+67,0.60923895188424104,145.28835364469398,0.043750000000000011,6.114111880779177
2.0000000000000002e-05,18,6,3.7900104875283449,18,0.087500000000000022,0.087500000000000022,0.043750000000000011,881632.65306122415,364705.26603498537,246553.49794238684,364705.26603498537,243136.84402332359,0.0025000000000000005,8.0000000000000007e-05,0.00055560112833593625,1,6.6233741808145848e+65,2.746258645013496,528.58431986028427,1,3.0500039999999999,8.6013280771220497,1.5032583478163121e+67,95041369.490825579,114206643.18132699,238.47307486777891,5.9889220780667678,190081950.38716263,108926613.9037693,10560058.555115372,547.43787454593678,482639107.26645344,9853.8817418268627,1.5032583478163121e+67,792218375.89411414,1.5032583478163121e+67,0.6092379617442496,145.28835364469398,0.043750000000000011,6.2632189038296815
5.0000000000000002e-05,18,6,3.7900104875283449,18,0.087500000000000008,0.087500000000000008,0.043750000000000004,352653.06122448976,145882.10641399416,98621.399176954743,145882.10641399416,97254.737609329444,0.0025000000000000005,0.00020000000000000001,0.00055560112833593625,1,1.2800251955020716e+66,7.5205286572531431,1021.4130335767712,1,3.0500099999999999,8.6033204820320002,2.9051787508048437e+67,38021615.520197451,45693003.399408258,238.51462186651725,5.9896406912270823,76042442.444355056,43580738.231775403,4224530.3352657082,547.50356183589895,193078810.97354543,9855.0641130461827,2.9051787508048437e+67,316937169.05687904,2.9051787508048437e+67,0.60923499164141148,145.28835364469398,0.043750000000000004,6.9220788402581377
0.0001,18,6,3.7900104875283449,18,0.087500000000000008,0.087500000000000008,0.043750000000000004,176326.53061224488,72941.05320699708,49310.699588477371,72941.05320699708,48627.368804664722,0.0025000000000000005,0.00025002050775117134,0.00055560112833593625,1.5998687611581575,2.0945594725145798e+66,29.529942663203059,2673.8572208020482,1.5998687611581575,4.8796197215323804,13.765512551159016,1.9467048787864809e+68,48663196.557070814,58482969.997757681,610.54159991638812,15.331731546784749,97324374.637793034,55779578.881361112,5406782.232793143,3587.121620912234,632504730.06370032,64568.189176420216,1.9467048787864809e+68,791084246.99977648,1.9467048787864809e+68,0.79962771066869243,145.28835364469398,0.043750000000000004,8.8243071502155885
0.00020000000000000001,18,6,3.7900104875283449,18,0.087500000000000008,0.087500000000000008,0.043750000000000004,88163.265306122441,36470.52660349854,24655.349794238686,36470.52660349854,24313.684402332361,0.0025000000000000005,0.00025002050775117134,0.00055560112833593625,13.580630138917424,2.0945594725145798e+66,250.66757915948455,22697.277952786113,13.580630138917424,41.421091695500287,116.84979366344135,1.1907122087003135e+71,1753319280.6922905,2107029180.4762359,43993.284437086571,1104.7457322205805,3506493117.7257943,2009631186.3472404,194795988.25799039,18624660.031212796,1642010894876.5779,335243880.56183034,1.1907122087003135e+71,1648075728807.532,1.1907122087003135e+71,0.99653476761380788,145.28835364469398,0.043750000000000004,15.240475914507812
