eta,lambda,log_Pstar,log_h,pi0_over_Pstar2,dpi0_deta_over_Pstar2,d2pi0_deta2_over_Pstar2,inner_bound_over_Pstar2,a22_margin,eta_times_dpi0_deta_over_Pstar2,pi0,pressure_y0_over_Pstar2,exterior_hold_length,terminal_Qp
-1,1.0000000000000001e-05,70,-80,-0.82865568814551405,-1.6573113762910281,-3.3146227525820562,-0.625,0.20365568814551405,1.6573113762910281,-5.2432622754867559e+60,-0.20365568814551405,86.261674008764899,6.7048466555638166e-36
-0.75,1.0000000000000001e-05,70,-80,-1.357669479457611,-2.6067254005586129,-4.0317352861973212,-1.024,0.33366947945761094,1.9550440504189597,-8.5905609121575053e+60,-0.33366947945761094,86.261674008764899,6.7048466555638166e-36
-0.5,1.0000000000000001e-05,70,-80,-2.1213585616525168,-3.394173698644027,-1.3576694794576118,-1.6000000000000001,0.52135856165251671,1.6970868493220135,-1.3422751425246102e+61,-0.52135856165251671,86.261674008764899,6.7048466555638166e-36
-0.25,1.0000000000000001e-05,70,-80,-2.9361364175121336,-2.7634225105996553,7.1523876744932249,-2.2145328719723185,0.72160354553981509,0.69085562764991382,-1.8578202664700484e+61,-0.72160354553981509,86.261674008764899,6.7048466555638166e-36
0,1.0000000000000001e-05,70,-80,-3.3146227525820562,-0,13.258491010328225,-2.5,0.81462275258205619,-0,-2.0973049101947024e+61,-0.81462275258205619,86.261674008764899,6.7048466555638166e-36
0.25,1.0000000000000001e-05,70,-80,-2.9361364175121336,2.7634225105996553,7.1523876744932249,-2.2145328719723185,0.72160354553981509,0.69085562764991382,-1.8578202664700484e+61,-0.72160354553981509,86.261674008764899,6.7048466555638166e-36
0.5,1.0000000000000001e-05,70,-80,-2.1213585616525168,3.394173698644027,-1.3576694794576118,-1.6000000000000001,0.52135856165251671,1.6970868493220135,-1.3422751425246102e+61,-0.52135856165251671,86.261674008764899,6.7048466555638166e-36
0.75,1.0000000000000001e-05,70,-80,-1.357669479457611,2.6067254005586129,-4.0317352861973212,-1.024,0.33366947945761094,1.9550440504189597,-8.5905609121575053e+60,-0.33366947945761094,86.261674008764899,6.7048466555638166e-36
1,1.0000000000000001e-05,70,-80,-0.82865568814551405,1.6573113762910281,-3.3146227525820562,-0.625,0.20365568814551405,1.6573113762910281,-5.2432622754867559e+60,-0.20365568814551405,86.261674008764899,6.7048466555638166e-36
