step,time,max_velocity,max_vorticity,kinetic_energy,enstrophy,viscous_dissipation,divergence_l2,pde_residual_l2,projected_nonlinear_l2,dt,cfl
0,0,1,2.0000000000000022,0.25,0.5,0.10000000000000001,4.5674546290285555e-32,nan,1.692557533440354e-16,0.0050000000000000001,0.012732395447351628
1,0.0050000000000000001,0.99900049983337513,1.9980009996667523,0.24950049966683327,0.49900099933366654,0.099800199866733316,8.9963813952054924e-33,7.0663555335235639e-05,1.4856441757808856e-16,0.0050000000000000001,0.012719669415980465
2,0.01,0.99800199866733319,1.9960039973346684,0.24900199733599784,0.49800399467199574,0.09960079893439916,6.3468542097582826e-33,7.0592927106732562e-05,1.5011317493677559e-16,0.0050000000000000001,0.012706956104279778
3,0.014999999999999999,0.99700449550337311,1.9940089910067482,0.24850449101348376,0.49700898202696764,0.099401796405393539,4.6310005735808145e-33,7.0522369460048127e-05,1.7083306960129739e-16,0.0050000000000000001,0.012694255499536254
4,0.02,0.9960079893439916,1.9920159786879852,0.24800797870926511,0.49601595741853033,0.099203191483706071,5.6811873006961329e-33,7.0451882343506656e-05,1.4151214934749381e-16,0.0050000000000000001,0.012681567589049286
5,0.025000000000000001,0.99501247919268243,1.9900249583853669,0.24751245843729205,0.49502491687458405,0.099004983374916811,7.6856429756850654e-33,7.0381465674423151e-05,1.4786715305218831e-16,0.0050000000000000001,0.012668892360130964
6,0.029999999999999999,0.99401796405393539,1.9880359281078726,0.24701792821548268,0.49403585643096526,0.098807171286193055,6.4482725640720359e-33,7.0311119386147179e-05,1.4595515276620133e-16,0.0050000000000000001,0.012656229800106061
7,0.035000000000000003,0.99302444293323522,1.9860488858664722,0.24652438606571542,0.49304877213143095,0.098609754426286195,8.7093780364362284e-33,7.0240843412734894e-05,1.5626391857880233e-16,0.0050000000000000001,0.012643579896312009
8,0.040000000000000001,0.99203191483706077,1.9840638296741233,0.24603183001382131,0.49206366002764257,0.098412732005528525,8.511215901557506e-33,7.0170637673208725e-05,1.3850960597052332e-16,0.0050000000000000001,0.012630942636098911
9,0.044999999999999998,0.99104037877288376,1.9820807575457693,0.24554025808957516,0.49108051617915033,0.098216103235830077,3.9610531449865444e-33,7.0100502118876219e-05,1.5073572549938836e-16,0.0050000000000000001,0.012618318006829497
10,0.050000000000000003,0.99004983374916811,1.980099667498338,0.24504966832668876,0.49009933665337757,0.098019867330675525,5.9548308792585999e-33,7.0030436654962641e-05,1.2983933960443862e-16,0.0050000000000000001,0.012605705995879143
11,0.055,0.98906027877536873,1.978120557550739,0.24456005876280248,0.48912011752560497,0.097824023505120997,8.760335339341911e-33,6.996044121925311e-05,1.2906068648300436e-16,0.0050000000000000001,0.012593106590635835
12,0.059999999999999998,0.98807171286193063,1.9761434257238628,0.24407142743947732,0.48814285487895465,0.097628570975790932,6.0187236661231614e-33,6.9890515735107462e-05,1.275874339027186e-16,0.0050000000000000001,0.012580519778500171
13,0.065000000000000002,0.98708413502028769,1.9741682700405772,0.24358377240218737,0.48716754480437469,0.097433508960874937,7.7016130035973786e-33,6.9820660158739745e-05,1.395190801160899e-16,0.0050000000000000001,0.012567945546885331
14,0.070000000000000007,0.986097544262862,1.9721950885257256,0.24309709170031171,0.48619418340062343,0.097238836680124688,7.0920261846189926e-33,6.9750874400831351e-05,1.3086971804951417e-16,0.0050000000000000001,0.012555383883217084
15,0.074999999999999997,0.98511193960306276,1.9702238792061273,0.24261138338712704,0.48522276677425408,0.097044553354850821,4.7664334331825571e-33,6.9681158389472002e-05,1.3450084401512127e-16,0.0050000000000000001,0.012542834774933769
16,0.080000000000000002,0.98412732005528525,1.9682546401105721,0.24212664551979943,0.4842532910395988,0.096850658207919771,5.5807330405271446e-33,6.9611512054616002e-05,1.3252121141104774e-16,0.0050000000000000001,0.012530298209486273
17,0.085000000000000006,0.98314368463490975,1.9662873692698213,0.24164287615937668,0.48328575231875331,0.096657150463750674,4.0514684182051732e-33,6.9541935343920349e-05,1.296884785416374e-16,0.0050000000000000001,0.012517774174338029
18,0.089999999999999997,0.98216103235830088,1.9643220647166033,0.2411600733707808,0.48232014674156154,0.096464029348312316,4.9346669978087601e-33,6.9472428160019688e-05,1.2001334118517229e-16,0.0050000000000000001,0.012505262656965005
19,0.095000000000000001,0.98117936224280622,1.9623587244856142,0.24067823522279991,0.48135647044559987,0.096271294089119983,7.6566325054146908e-33,6.9402990454967334e-05,1.462823710678799e-16,0.0050000000000000001,0.01249276364485568
20,0.10000000000000001,0.98019867330675547,1.9603973466135125,0.24019735978808085,0.48039471957616164,0.096078943915232334,5.7874114715222571e-33,6.9333622167529703e-05,1.2199381978271449e-16,0.0050000000000000001,0.012480277125511039
