time,i,j,x,y,u,v,omega_z,exact_u,exact_v,velocity_error
0,0,14,0,2.748893571891069,1.1027820838857703e-16,-0.38268343236508995,-3.3027112004731039e-16,-0,-0.38268343236508989,1.2346161815080021e-16
0,0,15,0,2.9452431127404308,1.4334996975099278e-16,-0.19509032201612844,-3.5359413461672102e-16,-0,-0.19509032201612861,2.1973303126017886e-16
0,0,16,0,3.1415926535897931,1.6441473132932973e-16,-1.3834374940456484e-16,3.5982813047785869e-17,-0,-1.2246467991473532e-16,1.6517974671841131e-16
0,0,17,0,3.3379421944391554,1.5914651176533825e-16,0.19509032201612816,2.8551190056113937e-16,-0,0.19509032201612836,2.5114903765904572e-16
0,0,18,0,3.5342917352885173,1.3987027354904936e-16,0.38268343236508967,3.6259694819104503e-16,-0,0.38268343236508967,1.3987027354904936e-16
0,0,19,0,3.7306412761378791,1.1027338129617073e-16,0.55557023301960207,2.4095585295310951e-16,-0,0.55557023301960196,1.5648057472596708e-16
0,0,20,0,3.9269908169872414,1.1160751640492455e-16,0.70710678118654746,4.3041090782203759e-16,-0,0.70710678118654746,1.1160751640492455e-16
0,0,21,0,4.1233403578366037,9.8670023034919781e-17,0.83146961230254512,7.3729581050525036e-16,-0,0.83146961230254524,1.4853189923309373e-16
0,0,22,0,4.3196898986859651,4.5223092772789009e-17,0.92387953251128674,7.8593566535497439e-16,-0,0.92387953251128652,2.266030332900456e-16
0,0,23,0,4.5160394395353274,1.8162318603740335e-18,0.98078528040323054,4.5553135069834827e-16,-0,0.98078528040323032,2.2205203280871776e-16
0,0,24,0,4.7123889803846897,-8.4081209027296306e-18,1,2.7006552170960978e-16,-0,1,8.4081209027296306e-18
0,0,25,0,4.908738521234052,-2.9420896413647516e-17,0.98078528040323054,3.8659696295581691e-16,0,0.98078528040323043,1.1485443304400962e-16
0,0,26,0,5.1050880620834143,-6.8023676088509028e-17,0.92387953251128685,3.2301297842306321e-16,0,0.92387953251128663,2.3223054726910419e-16
0,0,27,0,5.3014376029327757,-8.939553372795109e-17,0.83146961230254546,2.9394950776621473e-17,0,0.83146961230254546,8.939553372795109e-17
0,0,28,0,5.497787143782138,-9.8844708308568312e-17,0.70710678118654768,-6.097861820629867e-17,0,0.70710678118654768,9.8844708308568312e-17
0,0,29,0,5.6941366846315002,-1.1036643021603416e-16,0.55557023301960229,1.7200195578495614e-16,0,0.55557023301960218,1.5654616112415228e-16
0,0,30,0,5.8904862254808616,-1.147639647244879e-16,0.38268343236508995,3.0491063185103188e-16,0,0.38268343236509039,4.5867853002351926e-16
0,0,31,0,6.0868357663302239,-1.4432237357023967e-16,0.19509032201612844,3.5346488506493118e-16,0,0.19509032201612872,3.1283565220165884e-16
0,1,0,0.19634954084936207,0,0.19509032201612816,1.429828452830264e-16,-4.7256147421785078e-16,0.19509032201612825,-0,1.654613001430362e-16
0,1,1,0.19634954084936207,0.19634954084936207,0.19134171618254478,-0.19134171618254481,0.076120467488713373,0.19134171618254486,-0.19134171618254486,1.0007415106216802e-16
0,1,2,0.19634954084936207,0.39269908169872414,0.18023995550173683,-0.37533027751786519,0.14931566810068522,0.18023995550173696,-0.37533027751786524,1.4946834900704541e-16
0,1,3,0.19634954084936207,0.58904862254808621,0.16221167441072881,-0.54489510677581843,0.21677275132473886,0.16221167441072887,-0.54489510677581854,1.2412670766236366e-16
0,1,4,0.19634954084936207,0.78539816339744828,0.13794968964147147,-0.69351992266107365,0.27589937928294284,0.1379496896414715,-0.69351992266107365,2.7755575615628914e-17
0,1,5,0.19634954084936207,0.98174770424681035,0.10838637566236956,-0.8154931568489171,0.32442334882145807,0.10838637566236961,-0.8154931568489171,5.5511151231257827e-17
0,1,6,0.19634954084936207,1.1780972450961724,0.074657834050342584,-0.90612744635288789,0.36047991100347426,0.074657834050342611,-0.90612744635288778,1.1443916996305594e-16
0,1,7,0.19634954084936207,1.3744467859455345,0.038060233744356631,-0.96193976625564348,0.38268343236509,0.038060233744356631,-0.96193976625564337,1.1102230246251565e-16
0,1,8,0.19634954084936207,1.5707963267948966,1.1873783485159129e-17,-0.98078528040323054,0.39018064403225672,1.1945836920083893e-17,-0.98078528040323043,1.1102232584384005e-16
0,1,9,0.19634954084936207,1.7671458676442586,-0.038060233744356603,-0.96193976625564348,0.38268343236508978,-0.038060233744356603,-0.96193976625564337,1.1102230246251565e-16
0,1,10,0.19634954084936207,1.9634954084936207,-0.074657834050342542,-0.906127446352888,0.36047991100347371,-0.074657834050342584,-0.90612744635288778,2.2591401799415137e-16
0,1,11,0.19634954084936207,2.1598449493429825,-0.10838637566236949,-0.81549315684891732,0.32442334882145796,-0.10838637566236956,-0.81549315684891732,6.9388939039072284e-17
0,1,12,0.19634954084936207,2.3561944901923448,-0.13794968964147139,-0.69351992266107387,0.2758993792829435,-0.13794968964147147,-0.69351992266107376,1.3877787807814457e-16
0,1,13,0.19634954084936207,2.5525440310417071,-0.16221167441072878,-0.54489510677581865,0.21677275132473936,-0.16221167441072887,-0.54489510677581854,1.3877787807814457e-16
0,1,14,0.19634954084936207,2.748893571891069,-0.18023995550173688,-0.37533027751786535,0.14931566810068522,-0.18023995550173696,-0.37533027751786535,8.3266726846886741e-17
0,1,15,0.19634954084936207,2.9452431127404308,-0.19134171618254478,-0.19134171618254506,0.076120467488713456,-0.19134171618254486,-0.19134171618254522,1.8619006149354548e-16
0,1,16,0.19634954084936207,3.1415926535897931,-0.19509032201612814,-1.2628168563985351e-16,1.965595805971153e-16,-0.19509032201612825,-1.2011155542966555e-16,1.1119362459641733e-16
0,1,17,0.19634954084936207,3.3379421944391554,-0.19134171618254475,0.19134171618254481,-0.0761204674887134,-0.19134171618254486,0.19134171618254497,2.0014830212433605e-16
0,1,18,0.19634954084936207,3.5342917352885173,-0.18023995550173683,0.37533027751786519,-0.14931566810068506,-0.18023995550173696,0.37533027751786513,1.4946834900704541e-16
0,1,19,0.19634954084936207,3.7306412761378791,-0.16221167441072878,0.54489510677581843,-0.21677275132473869,-0.1622116744107289,0.54489510677581843,1.1102230246251565e-16
0,1,20,0.19634954084936207,3.9269908169872414,-0.1379496896414715,0.69351992266107365,-0.27589937928294284,-0.13794968964147153,0.69351992266107365,2.7755575615628914e-17
0,1,21,0.19634954084936207,4.1233403578366037,-0.10838637566236957,0.8154931568489171,-0.32442334882145801,-0.1083863756623696,0.8154931568489171,2.7755575615628914e-17
0,1,22,0.19634954084936207,4.3196898986859651,-0.074657834050342625,0.90612744635288778,-0.36047991100347415,-0.074657834050342708,0.90612744635288756,2.3714374201337736e-16
0,1,23,0.19634954084936207,4.5160394395353274,-0.038060233744356686,0.96193976625564348,-0.38268343236509017,-0.038060233744356693,0.96193976625564326,2.2215299868541707e-16
0,1,24,0.19634954084936207,4.7123889803846897,-2.5197433290486962e-17,0.98078528040323054,-0.39018064403225716,-3.583751076025168e-17,0.98078528040323043,1.1153099521048355e-16
0,1,25,0.19634954084936207,4.908738521234052,0.038060233744356645,0.96193976625564348,-0.38268343236509006,0.038060233744356624,0.96193976625564337,1.1295700899707568e-16
0,1,26,0.19634954084936207,5.1050880620834143,0.074657834050342584,0.90612744635288789,-0.36047991100347349,0.074657834050342639,0.90612744635288767,2.2887833992611187e-16
0,1,27,0.19634954084936207,5.3014376029327757,0.10838637566236949,0.81549315684891732,-0.32442334882145768,0.10838637566236953,0.81549315684891732,4.163336342344337e-17
0,1,28,0.19634954084936207,5.497787143782138,0.13794968964147139,0.69351992266107387,-0.27589937928294356,0.13794968964147145,0.69351992266107387,5.5511151231257827e-17
0,1,29,0.19634954084936207,5.6941366846315002,0.16221167441072878,0.54489510677581865,-0.21677275132473928,0.16221167441072887,0.54489510677581854,1.3877787807814457e-16
0,1,30,0.19634954084936207,5.8904862254808616,0.18023995550173685,0.37533027751786535,-0.14931566810068506,0.18023995550173691,0.37533027751786585,5.0267485386043072e-16
0,1,31,0.19634954084936207,6.0868357663302239,0.19134171618254472,0.19134171618254506,-0.076120467488713581,0.19134171618254484,0.19134171618254533,2.9893669801409083e-16
0,2,0,0.39269908169872414,0,0.38268343236508967,1.1533672317506601e-16,-2.8193448539739244e-16,0.38268343236508978,-0,1.6008907319626821e-16
0,2,1,0.39269908169872414,0.19634954084936207,0.37533027751786519,-0.18023995550173688,0.14931566810068558,0.37533027751786524,-0.18023995550173696,1.0007415106216802e-16
0,2,2,0.39269908169872414,0.39269908169872414,0.35355339059327368,-0.35355339059327373,0.29289321881345243,0.35355339059327379,-0.35355339059327379,1.2412670766236366e-16
0,2,3,0.39269908169872414,0.58904862254808621,0.31818964514320847,-0.51327996715933655,0.42521504738362753,0.31818964514320847,-0.51327996715933666,1.1102230246251565e-16
0,2,4,0.39269908169872414,0.78539816339744828,0.27059805007309851,-0.65328148243818818,0.54119610014619657,0.27059805007309851,-0.65328148243818818,0
0,2,5,0.39269908169872414,0.98174770424681035,0.21260752369181407,-0.7681777567114163,0.63637929028641738,0.21260752369181415,-0.7681777567114163,8.3266726846886741e-17
0,2,6,0.39269908169872414,1.1780972450961724,0.14644660940672624,-0.85355339059327384,0.70710678118654746,0.14644660940672627,-0.85355339059327373,1.1443916996305594e-16
0,2,7,0.39269908169872414,1.3744467859455345,0.074657834050342625,-0.90612744635288789,0.75066055503573015,0.074657834050342639,-0.90612744635288778,1.1188630228279524e-16
0,2,8,0.39269908169872414,1.5707963267948966,3.9522846251757149e-17,-0.92387953251128685,0.76536686473017923,2.3432602026631493e-17,-0.92387953251128674,1.1218220716005948e-16
0,2,9,0.39269908169872414,1.7671458676442586,-0.074657834050342556,-0.90612744635288789,0.75066055503573026,-0.074657834050342584,-0.90612744635288778,1.1443916996305594e-16
0,2,10,0.39269908169872414,1.9634954084936207,-0.14644660940672616,-0.85355339059327395,0.70710678118654691,-0.14644660940672621,-0.85355339059327373,2.2887833992611187e-16
0,2,11,0.39269908169872414,2.1598449493429825,-0.21260752369181399,-0.76817775671141653,0.63637929028641704,-0.21260752369181402,-0.76817775671141653,2.7755575615628914e-17
0,2,12,0.39269908169872414,2.3561944901923448,-0.27059805007309834,-0.6532814824381884,0.54119610014619723,-0.27059805007309845,-0.65328148243818829,1.5700924586837752e-16
0,2,13,0.39269908169872414,2.5525440310417071,-0.31818964514320836,-0.51327996715933677,0.4252150473836282,-0.31818964514320852,-0.51327996715933666,2.0014830212433605e-16
0,2,14,0.39269908169872414,2.748893571891069,-0.35355339059327368,-0.35355339059327384,0.29289321881345243,-0.35355339059327379,-0.35355339059327384,1.1102230246251565e-16
0,2,15,0.39269908169872414,2.9452431127404308,-0.37533027751786519,-0.1802399555017371,0.14931566810068544,-0.37533027751786524,-0.1802399555017373,2.0206364052201326e-16
0,2,16,0.39269908169872414,3.1415926535897931,-0.38268343236508962,-1.1517395578178052e-16,-4.0951817329224086e-17,-0.38268343236508978,-1.1314261122877003e-16,1.6654584221729836e-16
0,2,17,0.39269908169872414,3.3379421944391554,-0.37533027751786513,0.18023995550173688,-0.14931566810068544,-0.37533027751786524,0.18023995550173705,2.0014830212433605e-16
0,2,18,0.39269908169872414,3.5342917352885173,-0.35355339059327368,0.35355339059327373,-0.29289321881345187,-0.35355339059327379,0.35355339059327368,1.2412670766236366e-16
0,2,19,0.39269908169872414,3.7306412761378791,-0.31818964514320847,0.51327996715933655,-0.42521504738362753,-0.31818964514320858,0.51327996715933655,1.1102230246251565e-16
0,2,20,0.39269908169872414,3.9269908169872414,-0.27059805007309851,0.65328148243818818,-0.54119610014619723,-0.27059805007309856,0.65328148243818818,5.5511151231257827e-17
0,2,21,0.39269908169872414,4.1233403578366037,-0.21260752369181404,0.76817775671141619,-0.63637929028641693,-0.2126075236918141,0.7681777567114163,1.2412670766236366e-16
0,2,22,0.39269908169872414,4.3196898986859651,-0.14644660940672632,0.85355339059327373,-0.7071067811865468,-0.14644660940672646,0.85355339059327351,2.6184557666721351e-16
0,2,23,0.39269908169872414,4.5160394395353274,-0.074657834050342764,0.90612744635288789,-0.75066055503573048,-0.074657834050342764,0.90612744635288767,2.2204460492503131e-16
0,2,24,0.39269908169872414,4.7123889803846897,-5.1999296384830822e-17,0.92387953251128685,-0.76536686473018012,-7.0297806079894476e-17,0.92387953251128674,1.125201630870603e-16
0,2,25,0.39269908169872414,4.908738521234052,0.074657834050342653,0.90612744635288789,-0.75066055503573048,0.074657834050342625,0.90612744635288778,1.1443916996305594e-16
0,2,26,0.39269908169872414,5.1050880620834143,0.14644660940672621,0.85355339059327384,-0.70710678118654668,0.14644660940672632,0.85355339059327362,2.4825341532472731e-16
0,2,27,0.39269908169872414,5.3014376029327757,0.21260752369181396,0.76817775671141653,-0.6363792902864166,0.21260752369181396,0.76817775671141653,0
0,2,28,0.39269908169872414,5.497787143782138,0.27059805007309834,0.6532814824381884,-0.54119610014619723,0.27059805007309845,0.6532814824381884,1.1102230246251565e-16
0,2,29,0.39269908169872414,5.6941366846315002,0.31818964514320836,0.51327996715933677,-0.42521504738362814,0.31818964514320847,0.51327996715933666,1.5700924586837752e-16
0,2,30,0.39269908169872414,5.8904862254808616,0.35355339059327362,0.35355339059327384,-0.29289321881345259,0.35355339059327368,0.35355339059327434,5.0267485386043072e-16
0,2,31,0.39269908169872414,6.0868357663302239,0.37533027751786513,0.1802399555017371,-0.14931566810068569,0.37533027751786519,0.18023995550173738,2.8305244335018379e-16
0,3,0,0.58904862254808621,0,0.55557023301960207,1.3796165026681472e-16,-2.5624584339758441e-16,0.55557023301960218,-0,1.7708576619373226e-16
0,3,1,0.58904862254808621,0.19634954084936207,0.54489510677581854,-0.16221167441072873,0.21677275132473944,0.54489510677581854,-0.16221167441072887,1.3877787807814457e-16
0,3,2,0.58904862254808621,0.39269908169872414,0.51327996715933666,-0.31818964514320841,0.42521504738362809,0.51327996715933666,-0.31818964514320847,5.5511151231257827e-17
0,3,3,0.58904862254808621,0.58904862254808621,0.46193976625564337,-0.46193976625564331,0.61731656763490961,0.46193976625564331,-0.46193976625564331,5.5511151231257827e-17
