rho,lambda_factor,log_Lambda,phi0_bound,u0_bound,ball_radius,phi_domain,u_domain,source_phi,source_u,source_norm,lipschitz_q,invariant_lhs,invariant_margin,infinite_alpha_beta,inverse_certified,contraction_certified,invariant_ball_certified,proposition_b2_certificate
1.0000000000000001e-05,1,145.28778036016541,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3.6758460069437663e+22,9134721457276.9102,3.6758460069437663e+22,18647491903938656,3.6758478716929569e+22,-3.6758478716929569e+22,1,1,0,0,0
1.0000000000000001e-05,10,147.59036545315945,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3.6758460069437658e+21,165628449396.18103,3.6758460069437658e+21,1864749190393865.5,3.6758478716929562e+21,-3.6758478716929562e+21,1,1,0,0,0
1.0000000000000001e-05,100,149.89295054615351,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3.6758460069437656e+20,9084407976.3030033,3.6758460069437656e+20,186474919039386.53,3.675847871692956e+20,-3.675847871692956e+20,1,1,0,0,0
1.0000000000000001e-05,1000,152.19553563914755,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3.6758460069437653e+19,833656427.99714923,3.6758460069437653e+19,18647491903938.652,3.6758478716929556e+19,-3.6758478716929556e+19,1,1,0,0,0
1.0000000000000001e-05,10000,154.49812073214159,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3.675846006943766e+18,82617799.103383422,3.675846006943766e+18,1864749190393.8655,3.6758478716929562e+18,-3.6758478716929562e+18,1,1,0,0,0
1.0000000000000001e-05,100000,156.80070582513565,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3.6758460069437651e+17,8254301.4733750243,3.6758460069437651e+17,186474919039.38651,3.6758478716929555e+17,-3.6758478716929555e+17,1,1,0,0,0
1.0000000000000001e-05,1000000,159.10329091812969,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,36758460069437648,825355.36296786962,36758460069437648,18647491903.938648,36758478716929552,-36758478716929552,1,1,0,0,0
1.0000000000000001e-05,10000000,161.40587601112372,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3675846006943765.5,82534.788453090645,3675846006943765.5,1864749190.3938653,3675847871692956,-3675847871692955,1,1,0,0,0
1.0000000000000001e-05,100000000,163.70846110411779,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,367584600694376.56,8253.4713668720997,367584600694376.56,186474919.03938654,367584787169295.62,-367584787169294.62,1,1,0,0,0
1.0000000000000001e-05,1000000000,166.01104619711182,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,36758460069437.656,825.34706190284032,36758460069437.656,18647491.903938655,36758478716929.562,-36758478716928.562,1,1,0,0,0
1.0000000000000001e-05,10000000000,168.31363129010586,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3675846006943.7656,82.534705442440327,3675846006943.7656,1864749.1903938653,3675847871692.9561,-3675847871691.9561,1,1,0,0,0
1.0000000000000001e-05,100000000000,170.61621638309992,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,367584600694.37646,8.2534705367655974,367584600694.37646,186474.9190393865,367584787169.29553,-367584787168.29553,1,1,0,0,0
1.0000000000000001e-05,1000000000000,172.91880147609396,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,36758460069.43766,0.82534705360177518,36758460069.43766,18647.491903938655,36758478716.929565,-36758478715.929565,1,1,0,0,0
1.0000000000000001e-05,10000000000000,175.221386569088,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3675846006.9437661,0.08253470535942968,3675846006.9437661,1864.7491903938655,3675847871.6929564,-3675847870.6929564,1,1,0,0,0
1.0000000000000001e-05,100000000000000,177.52397166208206,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,367584600.69437653,0.0082534705359354893,367584600.69437653,186.47491903938652,367584787.16929555,-367584786.16929555,1,1,0,0,0
1.0000000000000001e-05,1000000000000000,179.8265567550761,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,36758460.069437653,0.00082534705359347421,36758460.069437653,18.647491903938651,36758478.716929555,-36758477.716929555,1,1,0,0,0
1.0000000000000001e-05,10000000000000000,182.12914184807013,1971228.1018163988,6.2611095509994307e+61,1,1971229.1018163988,6.2611095509994307e+61,3675846.0069437656,8.2534705359346675e-05,3675846.0069437656,1.8647491903938653,3675847.871692956,-3675846.871692956,1,1,0,0,0
1.0000000000000001e-05,1e+17,184.4317269410642,1971228.1018163988,6.2611095509994307e+61,474433.84323609032,2445661.9450524892,6.2611095509994307e+61,367584.60069437657,8.2534705359346604e-06,367584.60069437657,0.18647491903938654,456054.61320137151,18379.230034718814,1,1,1,1,1
1.0000000000000001e-05,1e+18,186.73431203405823,1971228.1018163988,6.2611095509994307e+61,39329.784918765872,2010557.8867351646,6.2611095509994307e+61,36758.46006943765,8.2534705359346577e-07,36758.46006943765,0.018647491903938652,37491.861915293986,1837.9230034718857,1,1,1,1,1
