rho,lambda_factor,log_Lambda,chi_norm,zeta_norm,T_bound,inverse_one_plus_T_bound,phi_Wstar_Phi,phi_h_background_Phi,phi_B_etaAX_u_Phi,phi_B_detaAX_u_Phi,phi_h_u_Phi,phi_zeta_u_Phi,phi_Wstar_DXPhi,phi_B_etaAX_u_DXPhi,phi_B_detaAX_u_DXPhi,phi_Hstar_detaPhi,phi_u_detaPhi,u_linear,u_quadratic,u_Wstar_DXu,u_B_etaAX_u_DXu,u_B_detaAX_u_DXu,u_Hstar_detau,u_u_detau,u_pressure_p,u_pressure_peta,u_pressure_DXp,M_phi_map,M_u_map,contraction_bound,inverse_certified,contraction_certified
1.0000000000000001e-05,10000000000,168.31420457463443,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.19849262735002e-69,9.2368729621141774e-104,1.5025477255494144e-80,1.8256050691173183e-75,5.4237506955236642e-115,3.7652042806715595e-05,4.1730647093217973e-70,2.8172769854051526e-81,1.8266235599225377e-76,1.6364226757905844e-64,1.8256050691173183e-75,9.1956773060346496e-71,5.0443269437865518e-82,5.1895835125545059e-72,7.0935847646998385e-83,4.5992315000027975e-78,2.7468847925929856e-66,6.1288894071531069e-77,1.9113837229912931e-72,1.6851383027188536e-66,3.4404907013843276e-71,3.7652042806715595e-05,4.4321565580250378e-66,3.7652042806715595e-05,1,1
1.0000000000000001e-05,100000000000,170.6167896676285,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500198e-70,9.2368729621141771e-105,1.5025477255494138e-82,1.8256050691173176e-77,5.423750695523664e-117,3.7652042806715593e-06,4.173064709321797e-71,2.8172769854051516e-83,1.8266235599225373e-78,1.6364226757905843e-65,1.8256050691173176e-77,9.1956773060346476e-72,5.0443269437865505e-84,5.1895835125545036e-73,7.0935847646998383e-85,4.5992315000027965e-80,2.7468847925929852e-67,6.1288894071531043e-79,1.9113837229912925e-73,1.6851383027188534e-67,3.4404907013843264e-72,3.7652042806715593e-06,4.4321565579657378e-67,3.7652042806715593e-06,1,1
1.0000000000000001e-05,1000000000000,172.91937476062253,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500201e-71,9.2368729621141767e-106,1.5025477255494143e-84,1.825605069117318e-79,5.4237506955236649e-119,3.7652042806715606e-07,4.1730647093217978e-72,2.8172769854051525e-85,1.8266235599225378e-80,1.6364226757905848e-66,1.825605069117318e-79,9.1956773060346484e-73,5.0443269437865511e-86,5.1895835125545049e-74,7.0935847646998395e-87,4.5992315000027968e-82,2.7468847925929856e-68,6.1288894071531066e-81,1.9113837229912927e-74,1.6851383027188535e-68,3.4404907013843276e-73,3.7652042806715606e-07,4.4321565579598073e-68,3.7652042806715606e-07,1,1
2.0000000000000002e-05,1,145.28835364469398,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500202e-59,9.2368729621141774e-94,1.5025477255494142e-60,9.1280253455865906e-56,5.423750695523664e-95,376520.428067156,4.1730647093217969e-60,2.8172769854051524e-61,9.1331177996126881e-57,8.1821133789529227e-55,9.1280253455865906e-56,9.1956773060346481e-61,5.0443269437865511e-62,5.1895835125545043e-62,7.0935847646998391e-63,2.2996157500013985e-58,1.3734423962964928e-56,3.0644447035765532e-57,1.9113837229912929e-62,8.4256915135942664e-57,3.4404907013843275e-61,376520.428067156,2.5455913918463188e-56,376520.428067156,1,0
2.0000000000000002e-05,10,147.59093873768802,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500201e-60,9.2368729621141779e-95,1.5025477255494142e-62,9.1280253455865907e-58,5.4237506955236643e-97,37652.042806715603,4.1730647093217969e-61,2.8172769854051524e-63,9.1331177996126879e-59,8.182113378952922e-56,9.1280253455865907e-58,9.1956773060346484e-62,5.0443269437865503e-64,5.1895835125545054e-63,7.0935847646998379e-65,2.2996157500013985e-60,1.3734423962964926e-57,3.0644447035765528e-59,1.9113837229912928e-63,8.4256915135942667e-58,3.4404907013843272e-62,37652.042806715603,2.2490896484575381e-57,37652.042806715603,1,0
2.0000000000000002e-05,100,149.89352383068208,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500199e-61,9.2368729621141759e-96,1.5025477255494141e-64,9.1280253455865908e-60,5.4237506955236647e-99,3765.2042806715604,4.1730647093217971e-62,2.8172769854051519e-65,9.1331177996126892e-61,8.1821133789529229e-57,9.1280253455865908e-60,9.1956773060346493e-63,5.0443269437865516e-66,5.1895835125545052e-64,7.0935847646998395e-67,2.2996157500013985e-62,1.3734423962964929e-58,3.0644447035765533e-61,1.9113837229912929e-64,8.4256915135942681e-59,3.4404907013843269e-63,3765.2042806715604,2.2194394741186605e-58,3765.2042806715604,1,0
2.0000000000000002e-05,1000,152.19610892367612,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500199e-62,9.2368729621141771e-97,1.5025477255494142e-66,9.1280253455865914e-62,5.423750695523664e-101,376.52042806715593,4.1730647093217976e-63,2.8172769854051525e-67,9.1331177996126897e-63,8.1821133789529229e-58,9.1280253455865914e-62,9.1956773060346466e-64,5.0443269437865507e-68,5.1895835125545045e-65,7.0935847646998384e-69,2.2996157500013983e-64,1.3734423962964926e-59,3.0644447035765523e-63,1.9113837229912927e-65,8.4256915135942675e-60,3.4404907013843267e-64,376.52042806715593,2.2164744566847722e-59,376.52042806715593,1,0
2.0000000000000002e-05,10000,154.49869401667016,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500199e-63,9.2368729621141764e-98,1.5025477255494142e-68,9.1280253455865898e-64,5.4237506955236638e-103,37.652042806715599,4.1730647093217974e-64,2.8172769854051519e-69,9.1331177996126875e-65,8.1821133789529222e-59,9.1280253455865898e-64,9.1956773060346479e-65,5.0443269437865502e-70,5.1895835125545039e-66,7.0935847646998366e-71,2.2996157500013979e-66,1.3734423962964926e-60,3.0644447035765524e-65,1.9113837229912927e-66,8.4256915135942655e-61,3.4404907013843271e-65,37.652042806715599,2.2161779549413833e-60,37.652042806715599,1,0
2.0000000000000002e-05,100000,156.80127910966422,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500198e-64,9.236872962114176e-99,1.5025477255494143e-70,9.1280253455865904e-66,5.4237506955236636e-105,3.7652042806715604,4.1730647093217977e-65,2.8172769854051523e-71,9.133117799612687e-67,8.1821133789529217e-60,9.1280253455865904e-66,9.1956773060346471e-66,5.0443269437865511e-72,5.1895835125545049e-67,7.0935847646998389e-73,2.2996157500013985e-68,1.3734423962964926e-61,3.0644447035765532e-67,1.9113837229912927e-67,8.4256915135942659e-62,3.4404907013843265e-66,3.7652042806715604,2.2161483047670443e-61,3.7652042806715604,1,0
2.0000000000000002e-05,1000000,159.10386420265826,0.99999820982401966,199.99999998996984,19.999964196480391,119.14752888095066,2.1984926273500201e-65,9.2368729621141773e-100,1.5025477255494139e-72,9.1280253455865883e-68,5.4237506955236647e-107,0.37652042806715591,4.1730647093217973e-66,2.8172769854051518e-73,9.1331177996126865e-69,8.1821133789529223e-61,9.1280253455865883e-68,9.1956773060346458e-67,5.0443269437865498e-74,5.1895835125545041e-68,7.0935847646998369e-75,2.299615750001398e-70,1.3734423962964925e-62,3.064444703576552e-69,1.9113837229912925e-68,8.4256915135942659e-63,3.4404907013843267e-67,0.37652042806715591,2.2161453397496104e-62,0.37652042806715591,1,1
