tau,eta_target,z,q_reference,q_solved,eta_solved,relative_q_error,eta_error
1,-0.90000000000000002,-2.0476676868251231,5.2631578947368434,5.2631578947368372,-0.90000000000000058,1.1812772982011662e-15,5.5511151231257827e-16
1,-0.80000000000000004,-1.3265396916207082,2.7777777777777786,2.7777777777777946,-0.79999999999999782,5.7553961596568095e-15,2.2204460492503131e-15
1,-0.69999999999999996,-0.97690155937793965,1.9607843137254901,1.9607843137254797,-0.70000000000000184,5.322409180053001e-15,1.8873791418627661e-15
1,-0.59999999999999998,-0.74832828921621175,1.5625,1.5625000000000102,-0.59999999999999809,6.536993168992922e-15,1.8873791418627661e-15
1,-0.5,-0.57652039956938594,1.3333333333333333,1.3333333333333339,-0.49999999999999983,4.9960036108132044e-16,1.6653345369377348e-16
1,-0.40000000000000002,-0.43605547598152783,1.1904761904761905,1.1904761904761854,-0.40000000000000085,4.2899017671516049e-15,8.3266726846886741e-16
1,-0.29999999999999993,-0.31433718929313642,1.0989010989010988,1.098901098901095,-0.30000000000000043,3.4350300381902349e-15,4.9960036108132044e-16
1,-0.20000000000000007,-0.20408248570994764,1.0416666666666667,1.0416666666666639,-0.20000000000000037,2.7711166694643904e-15,3.0531133177191805e-16
1,-0.099999999999999978,-0.1004987311690223,1.0101010101010102,1.0101010101010126,-0.099999999999999867,2.4180657476335907e-15,1.1102230246251565e-16
1,-1.1102230246251565e-16,-1.1102230246251565e-16,1,1.0000000000000071,-1.1102230246251526e-16,7.1054273576010019e-15,3.944304526105059e-31
1,0.099999999999999978,0.1004987311690223,1.0101010101010102,1.0101010101010126,0.099999999999999867,2.4180657476335907e-15,1.1102230246251565e-16
1,0.20000000000000007,0.20408248570994764,1.0416666666666667,1.0416666666666639,0.20000000000000037,2.7711166694643904e-15,3.0531133177191805e-16
1,0.30000000000000016,0.31433718929313675,1.098901098901099,1.098901098901095,0.30000000000000077,3.6370906286720126e-15,6.106226635438361e-16
1,0.40000000000000002,0.43605547598152783,1.1904761904761905,1.1904761904761854,0.40000000000000085,4.2899017671516049e-15,8.3266726846886741e-16
1,0.49999999999999989,0.57652039956938583,1.333333333333333,1.3333333333333339,0.49999999999999972,6.6613381477509412e-16,1.6653345369377348e-16
1,0.59999999999999998,0.74832828921621175,1.5625,1.5625000000000102,0.59999999999999809,6.536993168992922e-15,1.8873791418627661e-15
1,0.70000000000000007,0.97690155937793977,1.9607843137254906,1.9607843137254797,0.70000000000000195,5.5488946770765313e-15,1.8873791418627661e-15
1,0.80000000000000016,1.3265396916207086,2.7777777777777795,2.7777777777777946,0.79999999999999805,5.4356519285647634e-15,2.1094237467877974e-15
1,0.8999999999999998,2.04766768682512,5.2631578947368309,5.2631578947368265,0.90000000000000013,8.437694987151208e-16,3.3306690738754696e-16
0.10000000000000001,-0.90000000000000002,-0.65502741496579842,0.5263157894736844,0.52631578947368207,-0.90000000000000202,4.4297898682543729e-15,1.9984014443252818e-15
0.10000000000000001,-0.80000000000000004,-0.42434613323370196,0.2777777777777779,0.2777777777777759,-0.80000000000000293,7.1942451995710109e-15,2.886579864025407e-15
0.10000000000000001,-0.69999999999999996,-0.31250056209439919,0.19607843137254902,0.19607843137255038,-0.69999999999999751,6.9361183463456656e-15,2.4424906541753444e-15
0.10000000000000001,-0.59999999999999998,-0.23938237048174699,0.15625,0.15625,-0.59999999999999998,0,0
0.10000000000000001,-0.5,-0.18442282868198398,0.13333333333333333,0.133333333333334,-0.49999999999999878,4.9960036108132044e-15,1.2212453270876722e-15
0.10000000000000001,-0.40000000000000002,-0.13948957296714645,0.11904761904761905,0.11904761904761953,-0.3999999999999993,3.9634961979118084e-15,7.2164496600635175e-16
0.10000000000000001,-0.29999999999999993,-0.10055316976239535,0.10989010989010989,0.10989010989010964,-0.30000000000000027,2.2731816429200082e-15,3.3306690738754696e-16
