eta,heat_ratio_x100,heat_ode_residual,jacobian_det_scaled,recovery_error_inf,c0,c1,c2
-0.9,0.999673070084533,1.38777878078145e-17,-0.294158749839317,2.4624941842577e-17,0.000119999999999996,-7.99999999999677e-05,4.99999999999976e-05
-0.8,0.99938287513496,2.91433543964104e-16,-0.294158749839318,1.82959116606929e-17,0.000119999999999997,-7.99999999999781e-05,4.99999999999984e-05
-0.7,0.999128603351931,1.52655665885959e-16,-0.294158749839317,1.35389746289127e-17,0.000119999999999998,-7.99999999999854e-05,4.99999999999989e-05
-0.6,0.998909561769669,1.38777878078145e-17,-0.294158749839317,2.77555756156289e-17,0.000119999999999999,-7.99999999999903e-05,4.99999999999993e-05
-0.5,0.998725166644096,-2.77555756156289e-16,-0.294158749839318,2.77555756156289e-17,0.000119999999999999,-7.99999999999926e-05,4.99999999999995e-05
-0.4,0.998574935734785,0,-0.294158749839318,3.12250225675825e-17,0.000119999999999999,-7.99999999999944e-05,4.99999999999996e-05
-0.3,0.998458482180542,-4.16333634234434e-17,-0.294158749839317,3.46944695195361e-17,0.00012,-7.99999999999961e-05,4.99999999999997e-05
-0.2,0.998375509745894,1.38777878078145e-16,-0.294158749839317,3.12250225675825e-17,0.00012,-7.9999999999997e-05,4.99999999999998e-05
-0.1,0.998325809274846,-5.55111512312578e-17,-0.294158749839318,3.46944695195361e-17,0.000119999999999999,-7.99999999999967e-05,4.99999999999998e-05
0,0.998309256235165,2.63677968348475e-16,-0.294158749839316,2.77555756156289e-17,0.00012,-7.99999999999978e-05,4.99999999999999e-05
0.1,0.998325809274846,-5.55111512312578e-17,-0.294158749839318,3.46944695195361e-17,0.000119999999999999,-7.99999999999967e-05,4.99999999999998e-05
0.2,0.998375509745894,1.38777878078145e-16,-0.294158749839317,3.12250225675825e-17,0.00012,-7.9999999999997e-05,4.99999999999998e-05
0.3,0.998458482180542,-4.16333634234434e-17,-0.294158749839317,3.46944695195361e-17,0.00012,-7.99999999999961e-05,4.99999999999997e-05
0.4,0.998574935734785,0,-0.294158749839318,3.12250225675825e-17,0.000119999999999999,-7.99999999999944e-05,4.99999999999996e-05
0.5,0.998725166644096,-2.77555756156289e-16,-0.294158749839318,2.77555756156289e-17,0.000119999999999999,-7.99999999999926e-05,4.99999999999995e-05
0.6,0.998909561769669,1.38777878078145e-17,-0.294158749839317,2.77555756156289e-17,0.000119999999999999,-7.99999999999903e-05,4.99999999999993e-05
0.7,0.999128603351931,1.52655665885959e-16,-0.294158749839317,1.35389746289127e-17,0.000119999999999998,-7.99999999999854e-05,4.99999999999989e-05
0.8,0.99938287513496,2.91433543964104e-16,-0.294158749839318,1.82959116606929e-17,0.000119999999999997,-7.99999999999781e-05,4.99999999999984e-05
0.9,0.999673070084533,1.38777878078145e-17,-0.294158749839317,2.4624941842577e-17,0.000119999999999996,-7.99999999999677e-05,4.99999999999976e-05
